yob,control,treatment,cost_animal,num_cattle,total_cost,inbreeding_mean,cost_animal_alt,total_cost_alt
2006,6.657962382445141,6.516673114119922,-5.667112552524514,9.05,-51.28736860034685,6.549985218033998,12.032407095343673,108.89328421286025
2007,6.319812734082397,6.62978102189781,12.43282802427621,9.15,113.76037642212732,6.562275693311582,12.525378058727554,114.60720923735713
2008,6.207043189368771,6.741199563794984,21.425012178235402,9.15,196.03886143085393,6.609195402298851,14.407327586206907,131.8270474137932
2009,6.680750853242321,6.8086568457539,5.130309359639428,9.318,47.80422261312019,6.782757429163787,21.36890048375951,199.1154147076711
2010,6.995720164609054,6.6220950118764845,-14.986104876103356,9.204,-137.9321092796553,6.660762350936968,16.47567789608177,151.6421393555366
2011,7.095369127516778,7.120123537061119,0.9928993668234928,9.133,9.068149917198959,7.117937166567872,34.81295975103734,317.94676140622397
2012,6.759156626506024,7.953431715857929,47.902373833904896,9.202,440.79764401959284,7.905821325648415,66.41499337175794,611.1507690069166
2013,7.118860759493671,8.553047210300429,57.52521854185905,9.233,531.1303427969846,8.48678947368421,89.71762578947366,828.3628389142103
2014,7.119655172413793,8.869694563225412,70.19407996545402,9.25,649.2952396804498,8.839231692677071,103.85408319327732,960.6502695378152
2015,7.872083333333333,9.584837278106509,68.69856072485207,9.3,638.8966147411243,9.554963662790698,132.5620925145349,1232.8274603851746
2016,7.7875,10.698430034129693,116.757403668942,9.4,1097.519594488055,10.688528911564626,178.02939464285717,1673.4763096428574
2017,9.06488888888889,11.957128614157527,116.00773538052508,9.4,1090.4727125769357,11.83293893129771,223.93168053435113,2104.9577970229006
2018,9.143333333333333,12.568141176470588,137.36904258823532,9.3,1277.5320960705885,12.544135514018691,252.4577754672897,2347.8573118457944
2019,10.176,12.415806451612903,89.83863677419355,9.35,839.9912538387097,12.104722222222222,234.8329083333333,2195.6876929166665
