period_id,term,estimate,std.error,statistic,p.value,yob
1995-2003,yob::2005:treat,-0.7044134508775982,0.290425189487333,-2.425455767528462,0.016229187392209066,2005
1995-2003,yob::2006:treat,-0.504863730045335,0.24792541997072914,-2.0363532311650046,0.04311006081008328,2006
1995-2003,yob::2007:treat,-0.2772112788676524,0.2474888940267387,-1.1200958328162494,0.26409426893817284,2007
1995-2003,yob::2008:treat,-0.3163305709605005,0.23747665270684223,-1.3320491397990228,0.18444806710642345,2008
1995-2003,yob::2010:treat,-1.1928749143047068,0.4404221830360755,-2.7084805449206835,0.007379779295070155,2010
1995-2003,yob::2011:treat,-0.45822253969686466,0.20537389171320047,-2.231162568301335,0.02684577224580554,2011
1995-2003,yob::2012:treat,-0.5892677375462686,0.4774769843035749,-1.2341280457858013,0.21868755021896036,2012
1995-2003,yob::2013:treat,-0.4383312695023541,0.3861838164023143,-1.135032725052658,0.257798999481731,2013
1995-2003,yob::2014:treat,-0.818353961743226,0.24216394097801566,-3.379338634968443,8.82547665538685e-4,2014
1995-2003,yob::2015:treat,-0.7129820618785347,0.3219496049077149,-2.2145766014619186,0.02798431704564277,2015
1995-2003,yob::2016:treat,-0.46063720897982496,0.19064926566053517,-2.416149925277042,0.01663683322173492,2016
1995-2003,yob::2017:treat,-0.2906481475662755,0.35146757065571516,-0.8269558042695889,0.40930493416690195,2017
1995-2003,yob::2018:treat,0.6043822526280381,0.37656070928973784,1.6050061456704106,0.11016206963619936,2018
1995-2004,yob::2005:treat,-0.19116720484997013,0.3126591959110137,-0.6114235798916928,0.5416386994292224,2005
1995-2004,yob::2006:treat,-0.010592748679890275,0.2632064255164893,-0.040245023118657346,0.9679393843142295,2006
1995-2004,yob::2007:treat,0.23770799957567693,0.2624615546620811,0.9056869295837466,0.3662308405599458,2007
1995-2004,yob::2008:treat,0.15174583367226988,0.2505926082023899,0.6055479240222166,0.5455264149264727,2008
1995-2004,yob::2010:treat,-0.8424250056221316,0.29144367555973655,-2.8905242290957234,0.004286575960723873,2010
1995-2004,yob::2011:treat,-0.06602096793726284,0.18409886712754095,-0.35861691583101646,0.7202736632901099,2011
1995-2004,yob::2012:treat,0.3227371699845938,0.6800809327038796,0.4745570041222135,0.6356392651544566,2012
1995-2004,yob::2013:treat,0.04198616507303429,0.3439563974150127,0.12206827780666166,0.902971951535203,2013
1995-2004,yob::2014:treat,-0.30875121999925714,0.2569460047620566,-1.2016190727899212,0.23098355703259632,2014
1995-2004,yob::2015:treat,-0.15445636816190714,0.32288904395918,-0.4783574142621999,0.6329372575807963,2015
1995-2004,yob::2016:treat,-0.04034915189134167,0.21978774562473086,-0.18358235476983534,0.8545338329527313,2016
1995-2004,yob::2017:treat,0.11435187148321392,0.36426475916607837,0.3139251563752774,0.7539169330755959,2017
1995-2004,yob::2018:treat,1.012599149159923,0.3758890647971745,2.693877646337784,0.007684805139296008,2018
1995-2005,yob::2005:treat,-0.2538603120958787,0.2977853902990223,-0.8524941799225407,0.39481155655090416,2005
1995-2005,yob::2006:treat,-0.057817883607119126,0.2691034799911238,-0.21485371950234985,0.8300684975977658,2006
1995-2005,yob::2007:treat,0.11054250018990162,0.26990688294657184,0.40955791487460347,0.6825049311250357,2007
1995-2005,yob::2008:treat,0.08493556591902374,0.2548038487638863,0.33333706037434774,0.7391783532526139,2008
1995-2005,yob::2010:treat,-0.6437590062002202,0.2855804969207633,-2.25421208080199,0.02510870530423928,2010
1995-2005,yob::2011:treat,-0.0650216934464799,0.2566987173309055,-0.25329964295326673,0.8002590690785241,2011
1995-2005,yob::2012:treat,1.082096996200359,0.4956019185556625,2.1833995303204734,0.030000459212176787,2012
1995-2005,yob::2013:treat,0.9059845359687053,0.3749236333499185,2.4164508592691045,0.01643914669980611,2013
1995-2005,yob::2014:treat,0.6852315955870583,0.592952109351745,1.1556272163972894,0.24901226621700223,2014
1995-2005,yob::2015:treat,0.4308790251794765,0.7831554280356268,0.5501832838728345,0.5827184554134941,2015
1995-2005,yob::2016:treat,0.5832523461210082,0.31937761053095054,1.8262155106971276,0.06909204170665395,2016
1995-2005,yob::2017:treat,2.4240278470420096,0.5054905405280836,4.7953970503773204,2.8897314657909515e-6,2017
1995-2005,yob::2018:treat,3.3339603865149066,0.4841152198433645,6.886708473230009,5.216670464580523e-11,2018
1995-2006,yob::2005:treat,-0.3106326057256302,0.30941531957113155,-1.0039341495960377,0.31629935718782204,2005
1995-2006,yob::2006:treat,-0.20081107460698172,0.27082533025739985,-0.7414781860179968,0.45904091750296994,2006
1995-2006,yob::2007:treat,0.12698089498734272,0.25543238332667656,0.497121364697697,0.6195035815102948,2007
1995-2006,yob::2008:treat,0.09516872695931532,0.25255888582260644,0.3768179711806315,0.706601606223275,2008
1995-2006,yob::2010:treat,-0.6043149002016447,0.2717642965030905,-2.223672895879362,0.026988909420396577,2010
1995-2006,yob::2011:treat,-0.12472256242253935,0.23900405296831279,-0.5218428761920414,0.6022028583768301,2011
1995-2006,yob::2012:treat,0.9247458345948739,0.4818749630428869,1.9190576508798018,0.05601952276100317,2012
1995-2006,yob::2013:treat,0.8889930903521578,0.4560242840487196,1.9494424342041876,0.05226645404534805,2013
1995-2006,yob::2014:treat,0.6565478904588112,0.3242966065295217,2.024529018311031,0.043889206444904204,2014
1995-2006,yob::2015:treat,0.8563615915886682,0.5444194249306255,1.5729813308880245,0.11688132645981995,2015
1995-2006,yob::2016:treat,0.915462067681475,0.2766044660047779,3.309643119304017,0.0010597762944527652,2016
1995-2006,yob::2017:treat,2.598211152369385,0.37817838907569845,6.870332169745722,4.329258996728531e-11,2017
1995-2006,yob::2018:treat,1.7351156109022214,1.037102300562656,1.673041907207104,0.09546451452913982,2018
1995-2007,yob::2005:treat,-0.3234662998160299,0.2859765756721564,-1.1310936885503928,0.25888433297798974,2005
1995-2007,yob::2006:treat,-0.2877152926256716,0.25911230536857416,-1.1103883785697137,0.26768672875079624,2006
1995-2007,yob::2007:treat,-2.558690640624252e-4,0.248625431487308,-0.001029134720980814,0.9991795271330728,2007
1995-2007,yob::2008:treat,0.0155129715915139,0.2428413587377211,0.06388109369898792,0.9491058142765927,2008
1995-2007,yob::2010:treat,-0.46821507026751624,0.20272519707624675,-2.3096047113049116,0.02156271185962284,2010
1995-2007,yob::2011:treat,-0.169267341465732,0.15678242254914942,-1.079632134225179,0.2811399152541473,2011
1995-2007,yob::2012:treat,0.37872880544483783,0.38209074791067466,0.9912011937367748,0.3223554288180829,2012
1995-2007,yob::2013:treat,0.06557887902468454,0.45408027181143373,0.14442133493946976,0.8852610134218032,2013
1995-2007,yob::2014:treat,-0.038620776283074934,0.3434518858691873,-0.11244886946925857,0.9105398216557559,2014
1995-2007,yob::2015:treat,-0.4246802059802082,0.41079087962965405,-1.0338111848127594,0.3020250918770289,2015
1995-2007,yob::2016:treat,-0.09136599424966307,0.34379784494517485,-0.2657549940844834,0.7906034256283848,2016
1995-2007,yob::2017:treat,0.7554612547419618,0.7574371253345157,0.9973913734533658,0.31934747935677715,2017
1995-2007,yob::2018:treat,0.7246739202510123,0.5207930319379241,1.3914815978900994,0.1650707413486524,2018
1995-2008,yob::2005:treat,-0.38381316054603487,0.28687054085954705,-1.3379315958899778,0.18185991731549658,2005
1995-2008,yob::2006:treat,-0.3183339159542796,0.26356056629875263,-1.207820731396669,0.22799984539487742,2006
1995-2008,yob::2007:treat,-0.04841394154405666,0.24929730031425107,-0.19420162786772496,0.8461400885065302,2007
1995-2008,yob::2008:treat,-0.03977597510168279,0.2400184233841515,-0.16572050820457648,0.8684805835067346,2008
1995-2008,yob::2010:treat,-0.4896978991676321,0.19917391034388385,-2.45864480102913,0.014470516838048385,2010
1995-2008,yob::2011:treat,-0.1747177375958688,0.16253112253280472,-1.0749801937816825,0.28318593893023514,2011
1995-2008,yob::2012:treat,0.352685308766372,0.30591760767950127,1.1528767874514354,0.24981342709235016,2012
1995-2008,yob::2013:treat,0.17897981744884212,0.47050478134564344,0.38039957200213764,0.7038988662877417,2013
1995-2008,yob::2014:treat,0.014397357549846617,0.2864257028496863,0.05026559211203969,0.9599418115599865,2014
1995-2008,yob::2015:treat,0.017027900034759708,0.4283308030342873,0.03975408706106212,0.9683137407528992,2015
1995-2008,yob::2016:treat,-0.3676045268464362,0.20939404557606348,-1.7555634203213382,0.08011086900546312,2016
1995-2008,yob::2017:treat,-0.5158632347722412,0.5007401345999886,-1.030201494003139,0.30368622480338775,2017
1995-2008,yob::2018:treat,-0.7471622720153825,0.45707348010862375,-1.6346655505758485,0.10309335563531545,2018
1996-2003,yob::2005:treat,-0.9080982951397616,0.33909731492135725,-2.6779872773406237,0.008267524870374096,2005
1996-2003,yob::2006:treat,-0.49543992508472606,0.2673719778677507,-1.8529986913205387,0.0659292814113794,2006
1996-2003,yob::2007:treat,-0.15607594006704675,0.21368625462245475,-0.7303976586739513,0.4663337883659381,2007
