reg_id,reg_name
HOCAN000007533508,ALTA TRANCE
HOCAN000007816482,GILLETTE WARRIOR-ETS
HOCAN000101760606,COMESTAR LITALY-ET
HOCAN000007890285,ALTA AGILE-ET
HOCAN000007832140,STANTONS SATOR-ET
HOCAN000007611374,MORSAN ALTALOCKLYN-ET
HOCAN000007890284,ALTA DEVILLE-ET
HOCAN000007359260,ALTA NORTEL-ET
HOCAN000007359264,ALTA NORTHERN-ET
HOCAN000007359337,ALTA NITTO-ET
HOCAN000007359433,ALTA FINITE-ET
HOCAN000007430974,ALTA NIGHTLINE-ET
HOCAN000007430975,ALTA NIGHTCAP-ET
HOCAN000008744360,MAYBLOSSOM CHANDLER-ET
HOCAN000102618633,DESLACS MENDOZA-ET
WWCHE120112928183,MR AYSHA ASTHON-RED
HOCZE000653682021,ZDISLAVICE O-ALEXMAN
HODEU000579596120,TRAVELLER
HONLD000437563550,DIAMOND TWIN GERIENCE
HONLD000437289942,GIESSEN STRUIK 245
HODEU000349747180,NIERMANNS TI HEL TEXAS
HODNK000000258170,VH Anderstrup Supershot Soulru
HODNK000000251114,DANSIRE MASCOL MASON
HOUSA000068656297,DE-SU CAPRICORN-ET
HODNK000000250087,TH RAMOS ASTRONAUT
HODNK000000251677,OWN TOYSTORY PAUL
HOFRA002941264883,UEZOU
HOFRA002214546100,VAZIMOLO
HOCHE120065814601,MATTENHOF SIRWOOD
HOFRA007627604810,VUMESNIL
HONLD000751487334,PEAK ALTAHELICON
HOFRA002216979121,AUTTLE
HODEU000350264580,ABS SAMUEL RADIATE-ET
HOFRA003704258147,URRAH
HOFRA004952815479,O-MAN END-STORY-ET
HOFRA003704250472,FAIRPLAY
HOFRA002921632841,URTIMATE
HOFRA004240802364,UNCLE
HOCAN000007484367,OVERSIDE-I RMH DILLION-ET
HOGBR000000627769,WOODMARSH TOPSHOT-ET
HOGBR000000630782,KIRKBLYTHE DREAMER-ET
HOITA015520096684,BONETTI MORTY DODICE TV
HONLD000438266085,SOUTHLAND BOSCO
HOITA058990139475,TRIONE ALTAPINO-ET
HOITA017990676913,AQUILA ALTADUKA-ET
HOITA015990047678,SALA SHOTTLE PAROCAS
HOITA019500423669,GO-FARM BAUCIBAU TV
HONLD000425598456,LEKO
HOLUX000199246933,REDMAGIC
HONLD000340267130,DISCOVERY
HONLD000441659399,ALTA PONTIAC-ET
HONLD000925209469,DELTA FUN P-RED
HONLD000443771981,GROENHILDE NACIDO
HONLD000431424910,DELTA LLOYD
HONLD000429390313,ABS DELIVERANCE
HONLD000712321327,WEGGELHORSTER ASHBURTON
HODNK000000255761,VH BEACON BOOTH-ET
HONLD000429390128,SOUTHLAND ALTATRIGGER
HONLD000498938423,DELTA ATLANTIC
HONLD000465477157,DOME'S NAVARRO
HONLD000447098327,JONKER FLOYD
HONLD000446327701,DELTA MAZURKA
WWNLD000530106845,FASNA ASTERIX
WWNLD000876779387,DE RITH TEDBULL-RED
HONLD000418067103,TJEBBINGA HOT SHOT
HONLD000443771842,GROENHILDE SHOUT
HONLD000440865469,DELTA LINDBERG
HONLD000420132800,WILLEMS-HOEVE RUSH
HONLD000383090074,WOUDHOEVE 1042 IMPULS
HOCAN000007789679,KOEPON-I SHOTPUT
HONLD000644948755,DOLS AIRFORCE ONE-RED
HOUSA000139886458,POLLACK-VU JOLLY JASPER-ET
HO840003006778390,NO-FLA RENEW-ET
HO840003004886506,ROSYLANE-LLC ALTAGR8M8
HOUSA000065895428,ROSYLANE-LLC ALTATRIPLEX
HOUSA000063050132,FARNEAR-TBR ALTAARMADA-ET
HO840003006778167,NO-FLA ALTAREMOTE-ET
HOUSA000070881028,DINOMI ALTAJAKARTA
HOUSA000065888792,WEIGELINE BOLV JUMPSTART-ET
HOUSA000069120796,WEIGELINE FREDDIE JEPSEN-ET
HOUSA000063555720,LATUCH ALTALION
HOUSA000063501625,KEYSTONE DEAL
HOUSA000065338079,N-SPRINGHOPE DEASON
