reg_id,inbreeding
HOUSA000001316590,4.83
HOUSA000001321392,5.6
HOUSA000001333969,0.59
HOUSA000001340669,1.08
HOUSA000001348814,0.15
HOUSA000001357743,7.81
HOUSA000001363507,6.11
HOUSA000001383311,1.66
HOUSA000001408215,2.12
HOUSA000001429821,26.65
HOUSA000001443688,0.25
HOUSA000001446145,15.74
HOUSA000001463154,14.58
HOUSA000001474740,0.07
HOUSA000001505968,0.16
HOUSA000001507718,1.8
HOUSA000001538654,0.53
HOUSA000001599001,7.08
HOUSA000001599069,0.28
HOUSA000001676749,0.45
HOUSA000001720964,0.33
HOUSA000001752782,0.46
HOUSA000001780244,1.02
HOUSA000002228267,4.05
HOUSA000136089197,8.59
JEAUS000A00013850,9.44
JEDNK000000300263,0.93
JEDNK000000303057,2.64
JEDNK000000303186,2.72
JEDNK000000303382,9.26
JEDNK000000303451,3.69
JENZL000000083438,1.1
JENZL000000086447,0.25
JENZL000000088427,8.12
JENZL000000093461,6.48
JENZL000000096429,0
JENZL000000098485,0.8
JENZL000000302084,1.56
JEUSA000000623189,7.45
JEUSA000000623579,1.56
JEUSA000000631366,1.93
JEUSA000000633622,0.78
JEUSA000000637663,0
JEUSA000000647063,3.58
JEUSA000000649929,0.87
JEUSA000000653083,4.68
MSUSA000360002823,0
MSUSA000360006347,0
HO840003131668940,9.34
HO840003010979663,7.36
HO840003009524999,9.91
HOUSA000071852966,6.29
JE840003012658734,10.32
HO840003125201926,7.36
HO840003125078468,10.17
HO840003125078950,8.2
HOUSA000073590486,6.75
HOUSA000073163134,7.08
HO840003010607236,10.8
HO840003013614193,7.25
HO840003013614191,7.25
HO840003013654522,8.7
JE840003012658921,4.98
HO840003125325340,9.61
HO840003125325344,10.57
HO840003012560133,11.76
HO840003012130531,10
HO840003012130529,6.11
HO840003147118670,10.75
HO840003125066315,7.82
HO840003137839189,16.08
HO840003131664081,8.67
HO840003131664038,8.45
HO840003131664037,8.45
HOUSA000073956655,11.49
JE840003011609990,4.71
